date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:59	31425/31425	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/	preview.uideck.com/items/cryptoland/index.html	(from )
09:44:05	85/85	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2264c898bb-7a%22	https://preview.uideck.com/robots.txt		(from )
09:44:06	848/848	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-350%22	https://preview.uideck.com/items/cryptoland/assets/images/favicon.svg	preview.uideck.com/items/cryptoland/assets/images/favicon.svg	(from https://preview.uideck.com/items/cryptoland/)
09:44:10	205325/205325	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f88-3220d%22	https://preview.uideck.com/items/cryptoland/assets/css/bootstrap.min.css	preview.uideck.com/items/cryptoland/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:10	26932/26932	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f88-6934%22	https://preview.uideck.com/items/cryptoland/assets/css/LineIcons.3.0.css	preview.uideck.com/items/cryptoland/assets/css/LineIcons.3.0.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:12	70592/70592	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f88-113c0%22	https://preview.uideck.com/items/cryptoland/assets/css/animate.css	preview.uideck.com/items/cryptoland/assets/css/animate.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:14	2096/2096	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f87-830%22	https://preview.uideck.com/items/cryptoland/assets/css/tiny-slider.css	preview.uideck.com/items/cryptoland/assets/css/tiny-slider.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:23	13884/13884	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f88-363c%22	https://preview.uideck.com/items/cryptoland/assets/css/glightbox.min.css	preview.uideck.com/items/cryptoland/assets/css/glightbox.min.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:27	95377/95377	---MCZ	200	added ('OK')	text/css	etag:W/%2264c63f88-17491%22	https://preview.uideck.com/items/cryptoland/assets/css/main.css	preview.uideck.com/items/cryptoland/assets/css/main.css	(from https://preview.uideck.com/items/cryptoland/)
09:44:32	31425/31425	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/index.html	preview.uideck.com/items/cryptoland/index-2.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:33	3330/3330	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-d02%22	https://preview.uideck.com/items/cryptoland/assets/images/logo/white-logo.svg	preview.uideck.com/items/cryptoland/assets/images/logo/white-logo.svg	(from https://preview.uideck.com/items/cryptoland/)
09:44:33	18243/18243	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/about-us.html	preview.uideck.com/items/cryptoland/about-us.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:35	9563/9563	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:31%20GMT	https://preview.uideck.com/items/cryptoland/signin.html	preview.uideck.com/items/cryptoland/signin.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:36	9649/9649	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/signup.html	preview.uideck.com/items/cryptoland/signup.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:38	8894/8894	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:31%20GMT	https://preview.uideck.com/items/cryptoland/reset-password.html	preview.uideck.com/items/cryptoland/reset-password.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:39	3433/3433	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:31%20GMT	https://preview.uideck.com/items/cryptoland/mail-success.html	preview.uideck.com/items/cryptoland/mail-success.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:50	14890/14890	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/blog-grid.html	preview.uideck.com/items/cryptoland/blog-grid.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:55	15155/15155	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/blog-single.html	preview.uideck.com/items/cryptoland/blog-single.html	(from https://preview.uideck.com/items/cryptoland/)
09:44:57	10541/10541	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:32%20GMT	https://preview.uideck.com/items/cryptoland/contact.html	preview.uideck.com/items/cryptoland/contact.html	(from https://preview.uideck.com/items/cryptoland/)
09:45:03	224/224	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-e0%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/hero-shape.svg	preview.uideck.com/items/cryptoland/assets/images/hero/hero-shape.svg	(from https://preview.uideck.com/items/cryptoland/)
09:45:03	3450/3450	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2010:46:30%20GMT	https://preview.uideck.com/items/cryptoland/404.html	preview.uideck.com/items/cryptoland/404.html	(from https://preview.uideck.com/items/cryptoland/)
